K,N_generic,P0,P2,imbalance
1000.0,2683,0.22437569884457698,0.21393961982855014,0.010436079016026834
3000.0,8052,0.22367113760556384,0.21572280178837555,0.00794833581718829
9000.0,24158,0.22332146700885835,0.21657421972017551,0.006747247288682839
20000.0,53685,0.22065753934991153,0.2199310794449101,0.0007264599050014198
